,Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
0,3,P,RADUNOVIC,Cagliari,3,6.33,5.67,0,5,1,0,0,0,0,0,0,0
1,4,P,SPORTIELLO,Atalanta,5,6.3,5.3,0,5,0,0,0,0,0,0,0,0
2,11,D,CONTI,Sampdoria,4,6.0,6.62,1,0,0,0,0,0,0,1,0,0
3,15,D,MASIELLO,Genoa,7,5.64,5.43,0,0,0,0,0,0,0,3,0,0
4,22,C,DE ROON,Atalanta,30,5.95,6.13,3,0,0,0,0,0,0,5,1,0
5,27,C,GRASSI,Cagliari,28,5.95,5.88,0,0,0,0,0,0,1,4,1,0
6,41,P,MIRANTE,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
7,42,P,SARR M.,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
8,45,D,FERRARI A.,Sampdoria,22,5.7,5.75,1,0,0,0,0,0,0,4,0,0
9,50,D,MBAYE,Bologna,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
10,58,C,DIAWARA,Roma,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0
11,73,D,GAGLIOLO,Salernitana,14,5.61,5.61,0,0,0,0,0,0,1,2,0,0
12,76,D,ROMAGNOLI S.,Empoli,18,5.89,6.03,2,0,0,0,0,0,0,3,0,1
13,90,A,LASAGNA,Verona,26,5.92,6.25,2,0,0,0,0,0,3,1,0,0
14,118,D,RADOVANOVIC,Salernitana,13,5.88,5.96,1,0,0,0,0,0,0,4,0,0
15,133,P,SKORUPSKI,Bologna,36,6.24,4.79,0,53,1,0,0,0,0,4,0,0
16,140,D,HYSAJ,Lazio,27,5.63,5.69,1,0,0,0,0,0,0,3,0,0
17,142,D,MARIO RUI,Napoli,34,6.03,6.07,0,0,0,0,0,0,5,7,0,0
18,144,D,TONELLI,Empoli,13,5.5,5.19,0,0,0,0,0,0,0,4,0,1
19,148,C,KRUNIC,Milan,23,6.13,6.15,0,0,0,0,0,0,1,2,0,0
20,150,C,SAPONARA,Fiorentina,24,6.31,6.79,3,0,0,0,0,0,3,1,0,0
21,152,C,ZIELINSKI,Napoli,34,6.12,6.78,6,0,0,0,0,0,5,1,0,0
22,158,P,LEZZERINI,Venezia,6,6.17,4.5,0,9,0,0,0,0,0,2,0,0
23,159,P,SEPE,Salernitana,16,6.22,4.66,0,24,0,0,0,0,0,2,0,0
24,160,P,TATARUSANU,Milan,6,6.0,4.83,0,10,1,0,0,0,0,0,0,0
25,170,C,BADELJ,Genoa,34,5.76,5.79,1,0,0,0,0,0,0,4,0,0
26,173,C,CAPEZZI,Salernitana,4,5.75,5.75,0,0,0,0,0,0,0,0,0,0
27,177,A,ILICIC,Atalanta,17,6.35,6.85,3,0,0,1,0,1,3,1,0,0
28,181,C,VECINO,Inter,10,6.0,6.25,1,0,0,0,0,0,0,2,0,0
29,184,C,BERNARDESCHI,Juventus,26,5.9,6.04,1,0,0,0,0,0,3,5,0,0
30,186,A,REBIC,Milan,22,6.07,6.39,2,0,0,0,0,0,2,2,0,0
31,215,A,VERDE,Spezia,33,6.29,7.08,7,0,0,2,1,1,6,2,0,0
32,218,P,PERIN,Juventus,5,6.1,4.7,0,7,0,0,0,0,0,0,0,0
33,220,P,UJKANI,Empoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
34,224,D,DE MAIO,Udinese,2,4.0,4.0,0,0,0,0,0,0,0,0,0,0
35,226,D,IZZO,Torino,9,5.83,5.61,0,0,0,0,0,0,0,4,0,0
36,236,C,LAZOVIC,Verona,34,6.22,6.49,1,0,0,0,0,0,7,2,0,0
37,237,C,PEROTTI,Salernitana,9,5.78,5.44,0,0,0,1,0,1,0,1,0,0
38,238,C,RINCON,Sampdoria,21,5.81,5.69,0,0,0,0,0,0,0,5,0,0
39,244,D,GHIGLIONE,Genoa,11,5.64,5.59,0,0,0,0,0,0,1,3,0,0
40,245,A,PANDEV,Genoa,19,5.79,5.82,0,0,0,0,0,0,1,1,0,0
41,247,A,PAVOLETTI,Cagliari,28,5.89,6.32,5,0,0,0,0,0,1,9,0,0
42,250,P,HANDANOVIC,Inter,37,6.16,5.34,0,30,0,0,0,0,0,1,0,0
43,252,D,BIRAGHI,Fiorentina,37,5.96,6.11,3,0,0,2,1,1,1,3,1,1
44,253,D,D'AMBROSIO,Inter,15,6.23,6.47,1,0,0,0,0,0,1,2,0,0
45,254,D,DIMARCO,Inter,25,6.12,6.34,2,0,0,1,0,1,3,1,0,0
46,256,D,JUAN JESUS,Napoli,15,6.03,6.07,1,0,0,0,0,0,0,1,0,1
